result_id,manuscript_location,value,metric,dataset,perturbation,target_type,source_file,script,command,parameters,random_seed,claim_role,figure_panel,included_in_main_conclusion,source_status,notes
R001,Results 2.1,1.000000,Pearson r,Geneformer validation,multiple,path-D official reproduction,benchmark_output/pathd_validation.csv,scripts/pipeline/validate_pathd.py,python scripts/pipeline/validate_pathd.py,--artifact benchmark_output/pathd_validation.csv,NA,main_conclusion,NA,yes,machine_readable,"path-D reproduces official per-cell response"
R002,Results 2.1,2.98e-7,max absolute error,Geneformer validation,multiple,path-D official reproduction,benchmark_output/pathd_validation.csv,scripts/pipeline/validate_pathd.py,python scripts/pipeline/validate_pathd.py,--artifact benchmark_output/pathd_validation.csv,NA,main_conclusion,NA,yes,machine_readable,"reported as 3e-7 in manuscript"
R003,Results 2.2.1,+0.39,Pearson r,Frangieh,CCND1,oracle-direction upper bound,findings.md;scripts/diagnostics/diag_pathd.py,scripts/diagnostics/diag_pathd.py,python scripts/diagnostics/diag_pathd.py,CCND1 cache; sign oracle,NA,diagnostic_only,Figure 1B,no,summary_record,"sign-agreement identity; not perturbation-specific evidence"
R004,Results 2.2.1,+0.27,held-out Pearson r,Frangieh,CCND1,raw log2FC thin [magnitude projection] readout,progress.md;scripts/diagnostics/thin_gate_clean.py,scripts/diagnostics/thin_gate_clean.py,python scripts/diagnostics/thin_gate_clean.py,shared 13054 gene set; ridge CV,NA,exploratory_only,Figure 1B,no,summary_record,"raw-target apparent signal; diagnostic for library-size contamination"
R005,Results 2.2.1,+0.01,held-out Pearson r,Frangieh,CCND1,primary DESeq2 thin [magnitude projection] readout,benchmark_output/verify_logs/normrecheck.log;progress.md;scripts/diagnostics/thin_gate_clean.py,scripts/diagnostics/thin_gate_clean.py,python scripts/diagnostics/thin_gate_clean.py,shared 13054 gene set; ridge CV,NA,supporting_evidence,Figure 1B,yes,log_record,"precise rerun +0.0115; manuscript rounds to +0.01"
R006,Results 2.2.2,+0.69,held-out Pearson r,Frangieh,CCND1,exploratory raw target rich delta probe,benchmark_output/verify_logs/probe_CCND1.log,scripts/diagnostics/probe_pathd.py,python scripts/diagnostics/probe_pathd.py CCND1,rich delta/context probe; held-out CV,NA,exploratory_only,Figure 1B,no,log_record,"apparent rich-probe signal before gene-identity control"
R007,Results 2.2.2,+0.6931,held-out Pearson r,Frangieh,CCND1,raw log2FC WT-alone gene-identity baseline,benchmark_output/verify_logs/confound_full.log,scripts/diagnostics/confound_check.py,python scripts/diagnostics/confound_check.py,mean_wt 768d; held-out CV,NA,diagnostic_only,Figure 1A;Figure 1B,no,log_record,"baseline alone reaches rich-probe value on contaminated raw target"
R008,Results 2.2.2,-0.003,delta increment,Frangieh,CCND1,raw log2FC baseline+delta vs baseline,benchmark_output/verify_logs/deseq2_groundtruth_rerun.log,scripts/diagnostics/deseq2_groundtruth.py,python scripts/diagnostics/deseq2_groundtruth.py,raw log2FC row; same gene set; held-out CV,NA,diagnostic_only,Figure 1A,no,log_record,"raw target is diagnostic only; not load-bearing"
R009,Results 2.2.3,-0.34,partial/saliency correlation,Frangieh,CCND1,affected-gene saliency before universal-responsiveness control,findings.md;scripts/diagnostics/path2_specificity.py,scripts/diagnostics/path2_specificity.py,python scripts/diagnostics/path2_specificity.py,CCND1 abs effect; universal baseline,NA,diagnostic_only,Figure 1B,no,summary_record,"apparent saliency before subtracting universal responsiveness"
R010,Results 2.2.3,+0.02,partial correlation,Frangieh,CCND1,affected-gene saliency after universal-responsiveness control,findings.md;scripts/diagnostics/path2_specificity.py,scripts/diagnostics/path2_specificity.py,python scripts/diagnostics/path2_specificity.py,partial Spearman controlling universal_abs,NA,supporting_evidence,Figure 1B,yes,summary_record,"saliency collapses after matched control"
R011,Results 2.2.4,+4.6,z score,Replogle,GATA1,cell-embedding state-shift vs random-gene null,benchmark_output/verify_logs/state_shift_gata1_rerun.log,scripts/pipeline/state_shift.py,python scripts/pipeline/state_shift.py GATA1,N_CTRL=100; N_RANDOM=10,not recorded,caveated_result,NA,no,log_record,"rerun z=+4.60; manuscript reports approx +4.6; thin null"
R012,Results 2.2.4,+16.7e-3,mean projection,Replogle,mitochondrial genes,cross-pathway off-diagonal state-shift matrix,benchmark_output/verify_logs/state_matrix_rerun.log;supplementary_table_s1,scripts/pipeline/state_shift_matrix.py,python scripts/pipeline/state_shift_matrix.py,N_CTRL=100; N_KO=100; N_RANDOM=6,0,caveated_result,NA,no,log_record,"cross-pathway exceeds same-pathway; argues against pathway specificity"
R013,Results 2.2.4,+3.7e-3,mean projection,Replogle,mitochondrial genes,same-pathway off-diagonal state-shift matrix,benchmark_output/verify_logs/state_matrix_rerun.log;supplementary_table_s1,scripts/pipeline/state_shift_matrix.py,python scripts/pipeline/state_shift_matrix.py,N_CTRL=100; N_KO=100; N_RANDOM=6,0,caveated_result,NA,no,log_record,"same-pathway off-diagonal is small and weakly separated from null"
R014,Results 2.2.4,-10.0e-3 +/- 9.0e-3,mean +/- SD,Replogle,random null genes,random-null to mitochondrial axes,benchmark_output/verify_logs/state_matrix_rerun.log;supplementary_table_s1,scripts/pipeline/state_shift_matrix.py,python scripts/pipeline/state_shift_matrix.py,N_CTRL=100; N_KO=100; N_RANDOM=6,0,caveated_result,NA,no,log_record,"seed-fixed random null; complementary not load-bearing"
R015,Results 2.2.4,+1.51,z score,Replogle,mitochondrial genes,same-pathway off-diagonal vs random null,benchmark_output/verify_logs/state_matrix_rerun.log;supplementary_table_s1,scripts/pipeline/state_shift_matrix.py,python scripts/pipeline/state_shift_matrix.py,N_CTRL=100; N_KO=100; N_RANDOM=6,0,caveated_result,NA,no,log_record,"same-pathway vs null weak; deterministic cross>same is primary comparison"
R016,Results 2.3,+0.868,Spearman rho,Frangieh,CCND1,universal mean absolute response vs absolute CCND1 effect,benchmark_output/verify_logs/path2.log;scripts/diagnostics/path2_specificity.py,scripts/diagnostics/path2_specificity.py,python scripts/diagnostics/path2_specificity.py,232 perturbations; absolute log2FC,NA,supporting_evidence,NA,yes,log_record,"universal responsiveness explains affected-gene saliency"
